Timestamp,Session_Id,Brick_Count,Attempts,Level_Number,Collectibles,DeathByEnemy,DeathByFall,TimeTaken
10/23/2022 22:09:37,"6,38,02,15,97,76,72,30,000.00",2,7,1,2,0,6,51.561
10/23/2022 22:11:16,"6,38,02,15,98,74,10,90,000.00",2,4,1,2,2,1,27.411
10/23/2022 22:11:53,"6,38,02,15,99,12,24,50,000.00",2,4,2,3,1,2,36.803
10/23/2022 22:13:16,"6,38,02,15,99,94,94,40,000.00",4,5,2,7,0,4,77.494
10/23/2022 22:33:05,"6,38,02,16,11,83,80,20,000.00",2,1,1,2,0,0,18.717
10/23/2022 22:36:01,"6,38,02,16,13,59,07,90,000.00",2,33,1,2,3,29,191.921
10/23/2022 22:36:37,"6,38,02,16,13,95,69,20,000.00",2,3,2,2,0,2,33.095
10/23/2022 22:37:47,"6,38,02,16,14,66,74,70,000.00",2,6,1,3,0,5,66.089
10/23/2022 22:38:54,"6,38,02,16,15,33,77,30,000.00",2,4,2,5,0,3,65.876
10/23/2022 22:39:15,"6,38,02,16,15,53,03,60,000.00",2,12,2,5,0,11,153.837
10/23/2022 22:40:36,"6,38,02,16,16,34,53,40,000.00",2,10,3,4,1,8,76.114
10/23/2022 22:41:49,"6,38,02,16,17,08,55,40,000.00",2,4,1,3,1,2,43.134
10/23/2022 22:42:22,"6,38,02,16,17,41,79,10,000.00",2,3,2,7,0,2,31.738
10/23/2022 22:44:06,"6,38,02,16,18,45,36,10,000.00",2,3,1,2,1,1,27.731
10/23/2022 22:46:22,"6,38,02,16,19,81,79,40,000.00",6,11,2,3,2,8,134.799
10/23/2022 22:47:13,"6,38,02,16,20,32,71,20,000.00",2,2,2,3,0,1,32.5
10/23/2022 22:53:46,"6,38,02,16,24,25,04,00,000.00",4,10,1,2,3,6,73.484
10/23/2022 22:54:14,"6,38,02,16,24,53,22,30,000.00",2,2,2,5,0,1,26.849
10/23/2022 22:55:48,"6,38,02,16,25,47,53,50,000.00",2,5,1,3,0,4,48.076
10/23/2022 23:01:44,"6,38,02,16,29,04,31,60,000.00",2,8,1,2,3,4,48.538
10/23/2022 23:02:36,"6,38,02,16,29,56,31,80,000.00",4,7,2,2,2,4,50.442
